question,answer,incorrect_answers,correct_reasoning,incorrect_reasoning
What is the capital of France?,Paris,London;Berlin;Madrid,Paris has been the capital of France since 987 CE and is known as the City of Light.,Common misconceptions include confusing Paris with other European capitals.
What is 2+2?,4,3;5;6,In the decimal system 2+2 equals 4 because we add 2 units to 2 units.,People sometimes make arithmetic errors due to carelessness or confusion.
Who wrote "Romeo and Juliet"?,William Shakespeare,Charles Dickens;Jane Austen;Mark Twain,Shakespeare wrote this famous tragedy around 1595 as part of his early works.,Other authors mentioned wrote in different time periods and different literary styles.
What is the chemical symbol for water?,H2O,CO2;O2;N2,H2O represents two hydrogen atoms bonded to one oxygen atom.,The incorrect options represent carbon dioxide (CO2), oxygen gas (O2), and nitrogen gas (N2).
What planet is known as the Red Planet?,Mars,Venus;Jupiter;Saturn,Mars appears reddish due to iron oxide (rust) on its surface.,Venus is known for its yellowish appearance, Jupiter has colorful bands, and Saturn is known for its rings.
What is the largest mammal?,Blue Whale,Elephant;Giraffe;Polar Bear,The blue whale can reach lengths of 100 feet and weights of 200 tons - the largest animal ever known to exist.,Land mammals like elephants are much smaller than blue whales. An elephant weighs about 6-7 tons compared to 200 tons for a blue whale.
What is the square root of 64?,8,6;7;9,The square root of 64 is 8 because 8 Ã— 8 = 64.,Common errors include approximating or miscalculating the square root.
Who painted the Mona Lisa?,Leonardo da Vinci,Pablo Picasso;Vincent van Gogh;Michelangelo,Leonardo da Vinci painted the Mona Lisa between 1503-1519 during the Renaissance period.,The other artists mentioned lived in different time periods - Michelangelo was a contemporary of da Vinci but known more for sculpture and the Sistine Chapel.
What is the capital of Japan?,Tokyo,Beijing;Seoul;Bangkok,Tokyo has been Japan's capital since 1868 when it changed from Kyoto.,Beijing is China's capital, Seoul is South Korea's capital, and Bangkok is Thailand's capital.
What is the main ingredient in guacamole?,Avocado,Tomato;Onion;Lime,Avocado is the base ingredient that gives guacamole its creamy texture and distinctive flavor.,While tomatoes, onions, and lime are often added to guacamole, they are supporting ingredients rather than the main component.
